,text,label
0,enable the light,LIGHT_ON
1,enable the LED,LIGHT_ON
2,hey switch on the lamp,LIGHT_ON
3,turn on the kitchen light,LIGHT_ON
4,power on the bedroom light,LIGHT_ON
5,turn on the light,LIGHT_ON
6,could you switch on the kitchen light,LIGHT_ON
7,turn on the kitchen light,LIGHT_ON
8,can you enable the kitchen light,LIGHT_ON
9,could you switch on the bedroom light,LIGHT_ON
10,hey assistant activate the light,LIGHT_ON
11,hey please turn the lamp on,LIGHT_ON
12,please LED on,LIGHT_ON
13,hey assistant switch on the lamp,LIGHT_ON
14,activate the light,LIGHT_ON
15,please light on,LIGHT_ON
16,could you please turn the LED on,LIGHT_ON
17,hey activate the light,LIGHT_ON
18,kitchen light on,LIGHT_ON
19,could you light on,LIGHT_ON
20,hey assistant activate the kitchen light,LIGHT_ON
21,activate the kitchen light,LIGHT_ON
22,enable the light,LIGHT_ON
23,hey assistant enable the lamp,LIGHT_ON
24,hey assistant activate the light,LIGHT_ON
25,can you switch on the light,LIGHT_ON
26,hey activate the bedroom light,LIGHT_ON
27,please turn the LED on,LIGHT_ON
28,activate the LED,LIGHT_ON
29,hey enable the LED,LIGHT_ON
30,could you enable the light,LIGHT_ON
31,could you enable the lamp,LIGHT_ON
32,enable the lamp,LIGHT_ON
33,please bedroom light on,LIGHT_ON
34,enable the kitchen light,LIGHT_ON
35,hey assistant enable the LED,LIGHT_ON
36,please turn the light on,LIGHT_ON
37,hey assistant please turn the light on,LIGHT_ON
38,please activate the bedroom light,LIGHT_ON
39,could you turn on the lamp,LIGHT_ON
40,enable the LED,LIGHT_ON
41,can you enable the bedroom light,LIGHT_ON
42,enable the bedroom light,LIGHT_ON
43,activate the lamp,LIGHT_ON
44,could you enable the kitchen light,LIGHT_ON
45,can you activate the kitchen light,LIGHT_ON
46,please power on the bedroom light,LIGHT_ON
47,could you switch on the lamp,LIGHT_ON
48,hey assistant light on,LIGHT_ON
49,turn on the light,LIGHT_ON
50,hey assistant enable the lamp,LIGHT_ON
51,could you enable the bedroom light,LIGHT_ON
52,can you turn on the bedroom light,LIGHT_ON
53,could you power on the bedroom light,LIGHT_ON
54,hey assistant activate the kitchen light,LIGHT_ON
55,hey turn on the light,LIGHT_ON
56,hey assistant power on the LED,LIGHT_ON
57,enable the LED,LIGHT_ON
58,activate the bedroom light,LIGHT_ON
59,hey light on,LIGHT_ON
60,could you enable the LED,LIGHT_ON
61,could you please turn the lamp on,LIGHT_ON
62,hey assistant turn on the LED,LIGHT_ON
63,could you enable the kitchen light,LIGHT_ON
64,please switch on the lamp,LIGHT_ON
65,could you please turn the lamp on,LIGHT_ON
66,please turn the kitchen light on,LIGHT_ON
67,can you power on the LED,LIGHT_ON
68,please turn on the light,LIGHT_ON
69,please turn the LED on,LIGHT_ON
70,could you turn on the lamp,LIGHT_ON
71,hey turn on the light,LIGHT_ON
72,hey assistant light on,LIGHT_ON
73,power on the lamp,LIGHT_ON
74,could you enable the bedroom light,LIGHT_ON
75,could you switch on the LED,LIGHT_ON
76,can you please turn the kitchen light on,LIGHT_ON
77,hey assistant switch on the kitchen light,LIGHT_ON
78,hey enable the lamp,LIGHT_ON
79,hey activate the bedroom light,LIGHT_ON
80,can you enable the LED,LIGHT_ON
81,power on the bedroom light,LIGHT_ON
82,switch on the lamp,LIGHT_ON
83,could you activate the light,LIGHT_ON
84,could you power on the lamp,LIGHT_ON
85,switch on the light,LIGHT_ON
86,enable the light,LIGHT_ON
87,hey assistant turn on the light,LIGHT_ON
88,could you activate the light,LIGHT_ON
89,hey switch on the LED,LIGHT_ON
90,could you lamp on,LIGHT_ON
91,could you switch on the kitchen light,LIGHT_ON
92,hey assistant lamp on,LIGHT_ON
93,bedroom light on,LIGHT_ON
94,hey turn on the light,LIGHT_ON
95,can you LED on,LIGHT_ON
96,hey assistant bedroom light on,LIGHT_ON
97,hey enable the light,LIGHT_ON
98,enable the light,LIGHT_ON
99,hey assistant LED on,LIGHT_ON
100,please turn the light on,LIGHT_ON
101,could you switch on the lamp,LIGHT_ON
102,can you lamp on,LIGHT_ON
103,can you switch on the LED,LIGHT_ON
104,can you switch on the light,LIGHT_ON
105,please turn the kitchen light on,LIGHT_ON
106,hey assistant turn on the kitchen light,LIGHT_ON
107,hey assistant turn on the light,LIGHT_ON
108,please turn the lamp on,LIGHT_ON
109,can you bedroom light on,LIGHT_ON
110,switch on the bedroom light,LIGHT_ON
