,text,label
0,its dark,LIGHT_ON
1,turn on the LED,LIGHT_ON
2,hey lamp on,LIGHT_ON
3,switch on the kitchen light,LIGHT_ON
4,can you it is dark,LIGHT_ON
5,turn on the light,LIGHT_ON
6,could you lamp on,LIGHT_ON
7,it is dark,LIGHT_ON
8,light up the room,LIGHT_ON
9,hey too dark in here,LIGHT_ON
10,could you too dark in here,LIGHT_ON
11,make the room bright,LIGHT_ON
12,could you brighten the room,LIGHT_ON
13,hey assistant power on the light,LIGHT_ON
14,I cannot see,LIGHT_ON
15,can you too dark in here,LIGHT_ON
16,please make it bright,LIGHT_ON
17,hey assistant activate the lamp,LIGHT_ON
18,make it bright,LIGHT_ON
19,switch on the bedroom light,LIGHT_ON
20,hey assistant make it bright,LIGHT_ON
21,could you make it bright,LIGHT_ON
22,hey power on the light,LIGHT_ON
23,could you brighten the room,LIGHT_ON
24,switch on the bedroom light,LIGHT_ON
25,please light up the room,LIGHT_ON
26,hey need some light,LIGHT_ON
27,hey assistant it is dark,LIGHT_ON
28,could you make it bright,LIGHT_ON
29,light on,LIGHT_ON
30,its dark,LIGHT_ON
31,please I cannot see,LIGHT_ON
32,hey assistant switch on the lamp,LIGHT_ON
33,please switch on the bedroom light,LIGHT_ON
34,hey brighten the room,LIGHT_ON
35,please need some light,LIGHT_ON
36,please activate the LED,LIGHT_ON
37,hey LED on,LIGHT_ON
38,hey wake up the lamp,LIGHT_ON
39,its dark,LIGHT_ON
40,hey it is dark,LIGHT_ON
41,hey activate the kitchen light,LIGHT_ON
42,can you lamp on,LIGHT_ON
43,please make the room bright,LIGHT_ON
44,hey wake up the lamp,LIGHT_ON
45,could you too dark in here,LIGHT_ON
46,hey assistant LED on,LIGHT_ON
47,hey assistant I cannot see,LIGHT_ON
48,hey assistant turn on the lamp,LIGHT_ON
49,can you turn on the LED,LIGHT_ON
50,power on the light,LIGHT_ON
51,could you wake up the lamp,LIGHT_ON
52,hey wake up the lamp,LIGHT_ON
53,make it bright,LIGHT_ON
54,can you its dark,LIGHT_ON
55,hey make the room bright,LIGHT_ON
56,brighten the room,LIGHT_ON
