text,label
can you stop bathroom lamp for me,LIGHT_OFF
start bathroom light right now,LIGHT_ON
could you start lamp for me,LIGHT_ON
could you deactivate hall lights please,LIGHT_OFF
can you deactivate garage lamp for me,LIGHT_OFF
enable hall lights please,LIGHT_ON
please enable kitchen led please,LIGHT_ON
would you enable kitchen led for me,LIGHT_ON
stop living room led please,LIGHT_OFF
can you activate office light for me,LIGHT_ON
would you switch off bathroom light,LIGHT_OFF
can you start led right now,LIGHT_ON
would you activate garage lights for me,LIGHT_ON
hey stop office lamp please,LIGHT_OFF
please enable garage light right now,LIGHT_ON
can you disable light please,LIGHT_OFF
would you power off garage lights for me,LIGHT_OFF
would you disable living room lamp,LIGHT_OFF
hey turn on living room led right now,LIGHT_ON
would you enable living room led right now,LIGHT_ON
can you turn off hall lights please,LIGHT_OFF
please turn off living room lights right now,LIGHT_OFF
hey deactivate living room lamp for me,LIGHT_OFF
would you power on kitchen lamp please,LIGHT_ON
would you power on living room lamp,LIGHT_ON
please activate hall lights for me,LIGHT_ON
please stop light for me,LIGHT_OFF
can you turn on bathroom led,LIGHT_ON
hey power on garage led right now,LIGHT_ON
hey power off bathroom lights for me,LIGHT_OFF
hey power on bedroom lamp right now,LIGHT_ON
please activate light please,LIGHT_ON
power off bedroom lights right now,LIGHT_OFF
could you start office lights,LIGHT_ON
would you enable bathroom lamp for me,LIGHT_ON
would you turn on living room lamp right now,LIGHT_ON
stop living room light please,LIGHT_OFF
hey turn on lamp right now,LIGHT_ON
would you turn on lights,LIGHT_ON
could you power on kitchen lamp please,LIGHT_ON
would you switch off office light for me,LIGHT_OFF
enable garage lights,LIGHT_ON
could you switch on hall led,LIGHT_ON
deactivate office lights please,LIGHT_OFF
could you enable kitchen lights,LIGHT_ON
power off kitchen lamp right now,LIGHT_OFF
hey disable bathroom lights for me,LIGHT_OFF
would you switch off bathroom led please,LIGHT_OFF
hey turn off office lights please,LIGHT_OFF
would you disable living room light,LIGHT_OFF
can you disable living room led please,LIGHT_OFF
could you switch off garage lamp please,LIGHT_OFF
hey enable kitchen lights please,LIGHT_ON
enable bathroom led please,LIGHT_ON
hey switch off living room lamp,LIGHT_OFF
deactivate garage led,LIGHT_OFF
enable kitchen led for me,LIGHT_ON
can you activate hall lights,LIGHT_ON
switch on hall lamp right now,LIGHT_ON
would you activate bathroom light right now,LIGHT_ON
hey enable office lamp for me,LIGHT_ON
can you turn off garage lights please,LIGHT_OFF
hey enable bedroom lights please,LIGHT_ON
hey disable garage light please,LIGHT_OFF
please deactivate hall light right now,LIGHT_OFF
would you start garage light for me,LIGHT_ON
please turn on kitchen led,LIGHT_ON
please disable kitchen lights,LIGHT_OFF
could you switch on hall lamp,LIGHT_ON
can you power on kitchen light right now,LIGHT_ON
start garage light,LIGHT_ON
please deactivate bathroom light for me,LIGHT_OFF
would you deactivate garage led,LIGHT_OFF
hey enable bathroom lamp,LIGHT_ON
please power on light for me,LIGHT_ON
can you activate living room lamp,LIGHT_ON
could you power off kitchen lights,LIGHT_OFF
can you activate bathroom light right now,LIGHT_ON
please start living room light right now,LIGHT_ON
can you start office lights right now,LIGHT_ON
hey turn on kitchen led for me,LIGHT_ON
would you turn on bedroom led for me,LIGHT_ON
deactivate led for me,LIGHT_OFF
could you activate office lamp please,LIGHT_ON
would you activate living room led,LIGHT_ON
could you deactivate living room lamp please,LIGHT_OFF
can you deactivate hall light right now,LIGHT_OFF
can you switch off bedroom light please,LIGHT_OFF
can you stop office lamp,LIGHT_OFF
could you stop lamp please,LIGHT_OFF
could you start kitchen light,LIGHT_ON
turn off bedroom lamp,LIGHT_OFF
could you disable lamp please,LIGHT_OFF
would you start hall lights for me,LIGHT_ON
could you stop hall lights please,LIGHT_OFF
could you switch on lights please,LIGHT_ON
hey power on kitchen lamp,LIGHT_ON
can you turn off hall lamp,LIGHT_OFF
would you start garage lights right now,LIGHT_ON
could you deactivate garage lights,LIGHT_OFF
can you switch off office light,LIGHT_OFF
could you start garage lights please,LIGHT_ON
please power on bathroom lamp,LIGHT_ON
can you turn off bedroom lights for me,LIGHT_OFF
could you switch off office light for me,LIGHT_OFF
can you deactivate garage lamp right now,LIGHT_OFF
hey turn off kitchen light right now,LIGHT_OFF
would you disable bathroom light,LIGHT_OFF
please power off kitchen lights,LIGHT_OFF
activate bedroom lights,LIGHT_ON
enable garage led for me,LIGHT_ON
stop bedroom light right now,LIGHT_OFF
could you stop light for me,LIGHT_OFF
can you turn on living room light right now,LIGHT_ON
could you turn on light for me,LIGHT_ON
could you stop kitchen led please,LIGHT_OFF
would you switch off living room led right now,LIGHT_OFF
please power off bathroom lamp right now,LIGHT_OFF
would you switch on lights please,LIGHT_ON
can you deactivate living room led,LIGHT_OFF
would you start bedroom light,LIGHT_ON
can you activate kitchen light please,LIGHT_ON
could you switch on hall light please,LIGHT_ON
would you activate led for me,LIGHT_ON
hey disable living room lamp right now,LIGHT_OFF
would you turn off kitchen lights,LIGHT_OFF
can you turn off office light for me,LIGHT_OFF
hey turn off office light right now,LIGHT_OFF
hey deactivate garage lamp for me,LIGHT_OFF
please turn off office lamp please,LIGHT_OFF
can you power on bedroom lights please,LIGHT_ON
hey turn on office lights,LIGHT_ON
turn on garage led,LIGHT_ON
please activate bathroom led please,LIGHT_ON
can you stop hall lights,LIGHT_OFF
hey power on bedroom lights right now,LIGHT_ON
power off lights,LIGHT_OFF
would you disable office light right now,LIGHT_OFF
would you start bedroom light for me,LIGHT_ON
deactivate office led,LIGHT_OFF
would you stop garage lights please,LIGHT_OFF
stop bathroom light,LIGHT_OFF
could you power on garage lights right now,LIGHT_ON
switch on bedroom light,LIGHT_ON
start garage led right now,LIGHT_ON
would you switch on living room light,LIGHT_ON
switch on garage lamp for me,LIGHT_ON
please turn on living room lamp please,LIGHT_ON
can you stop kitchen lamp for me,LIGHT_OFF
please stop lights right now,LIGHT_OFF
can you start kitchen lamp for me,LIGHT_ON
turn on office lamp please,LIGHT_ON
hey power off garage lamp for me,LIGHT_OFF
hey turn off bathroom lamp right now,LIGHT_OFF
could you activate garage lights right now,LIGHT_ON
would you enable office led right now,LIGHT_ON
would you stop kitchen lights please,LIGHT_OFF
would you switch off garage light please,LIGHT_OFF
could you activate hall light,LIGHT_ON
would you enable light please,LIGHT_ON
please power on bathroom lights,LIGHT_ON
start office led,LIGHT_ON
could you stop living room led for me,LIGHT_OFF
can you disable lights,LIGHT_OFF
please stop kitchen lights,LIGHT_OFF
would you power off kitchen lights please,LIGHT_OFF
could you activate hall lights right now,LIGHT_ON
can you activate living room light please,LIGHT_ON
can you power off hall light,LIGHT_OFF
please start kitchen light,LIGHT_ON
power off bedroom lights for me,LIGHT_OFF
please start lamp right now,LIGHT_ON
please turn on bedroom led right now,LIGHT_ON
would you start garage light right now,LIGHT_ON
would you switch off kitchen led for me,LIGHT_OFF
turn on bedroom led please,LIGHT_ON
can you switch on living room led right now,LIGHT_ON
hey turn off bedroom lights,LIGHT_OFF
power on garage lights,LIGHT_ON
please disable light,LIGHT_OFF
please switch off bathroom led,LIGHT_OFF
please switch on bedroom lamp please,LIGHT_ON
switch off light please,LIGHT_OFF
can you turn off bedroom light right now,LIGHT_OFF
hey switch on kitchen lamp please,LIGHT_ON
stop bedroom led,LIGHT_OFF
could you turn on kitchen led right now,LIGHT_ON
please switch off kitchen lamp right now,LIGHT_OFF
turn off office led right now,LIGHT_OFF
please turn on kitchen light please,LIGHT_ON
would you deactivate garage light,LIGHT_OFF
please turn on bedroom lights,LIGHT_ON
could you turn on office lights for me,LIGHT_ON
start hall led please,LIGHT_ON
switch off led for me,LIGHT_OFF
switch off bedroom light for me,LIGHT_OFF
hey start bathroom led right now,LIGHT_ON
could you disable office led for me,LIGHT_OFF
can you activate garage lamp for me,LIGHT_ON
could you switch on garage light for me,LIGHT_ON
could you switch on kitchen led please,LIGHT_ON
could you turn on bathroom lights please,LIGHT_ON
power on office lights,LIGHT_ON
could you deactivate garage light right now,LIGHT_OFF
please switch on hall lamp please,LIGHT_ON
activate light for me,LIGHT_ON
turn on garage led please,LIGHT_ON
what is the weather please,UNKNOWN
turn off garage lamp right now,LIGHT_OFF
please stop kitchen led for me,LIGHT_OFF
power off bathroom led for me,LIGHT_OFF
would you activate lamp,LIGHT_ON
can you disable office lights for me,LIGHT_OFF
hey switch off kitchen lights please,LIGHT_OFF
could you enable office lamp for me,LIGHT_ON
can you enable bathroom lights for me,LIGHT_ON
switch on garage lamp please,LIGHT_ON
please switch on hall lights right now,LIGHT_ON
can you switch off hall light,LIGHT_OFF
please stop bathroom lamp,LIGHT_OFF
hey switch on kitchen led please,LIGHT_ON
would you enable led,LIGHT_ON
please turn off bedroom led right now,LIGHT_OFF
could you turn on office light right now,LIGHT_ON
disable hall light right now,LIGHT_OFF
could you stop light,LIGHT_OFF
could you start bathroom lamp,LIGHT_ON
start bathroom light please,LIGHT_ON
can you turn on bathroom lamp,LIGHT_ON
hey deactivate bedroom light right now,LIGHT_OFF
disable bedroom led,LIGHT_OFF
please stop living room lamp,LIGHT_OFF
hey power on office lamp,LIGHT_ON
hey activate garage lights please,LIGHT_ON
switch on garage lights please,LIGHT_ON
would you turn on bathroom lights please,LIGHT_ON
can you disable lights please,LIGHT_OFF
switch off office lights,LIGHT_OFF
please stop bedroom lights for me,LIGHT_OFF
hey power on bathroom lamp for me,LIGHT_ON
can you stop office led right now,LIGHT_OFF
can you activate office light right now,LIGHT_ON
open the garage please,UNKNOWN
please switch off living room lamp for me,LIGHT_OFF
please activate garage led,LIGHT_ON
can you turn off garage led for me,LIGHT_OFF
hey enable garage lamp right now,LIGHT_ON
can you activate office led right now,LIGHT_ON
would you switch on office led,LIGHT_ON
start kitchen light right now,LIGHT_ON
please turn off bedroom lights please,LIGHT_OFF
please power off hall lights right now,LIGHT_OFF
could you deactivate bathroom lamp right now,LIGHT_OFF
would you disable garage led for me,LIGHT_OFF
stop lamp please,LIGHT_OFF
please activate garage lamp,LIGHT_ON
would you start living room led please,LIGHT_ON
would you switch off kitchen light please,LIGHT_OFF
could you power off office light please,LIGHT_OFF
can you turn on office led please,LIGHT_ON
hey switch off living room lights right now,LIGHT_OFF
could you activate hall lights,LIGHT_ON
could you power off bedroom lamp for me,LIGHT_OFF
please good morning,UNKNOWN
please start garage lamp please,LIGHT_ON
hey deactivate garage light please,LIGHT_OFF
hey turn on office led please,LIGHT_ON
please disable bathroom led right now,LIGHT_OFF
switch on lamp right now,LIGHT_ON
can you disable garage led,LIGHT_OFF
can you disable office light for me,LIGHT_OFF
could you disable hall lamp for me,LIGHT_OFF
would you switch on lights right now,LIGHT_ON
hey start hall light for me,LIGHT_ON
hey switch off hall lights for me,LIGHT_OFF
please start hall lights right now,LIGHT_ON
hey switch off living room lamp right now,LIGHT_OFF
could you start kitchen lamp for me,LIGHT_ON
could you turn on office lamp,LIGHT_ON
could you activate light for me,LIGHT_ON
deactivate garage light for me,LIGHT_OFF
could you start bedroom light for me,LIGHT_ON
hey power on light please,LIGHT_ON
please disable garage light please,LIGHT_OFF
could you switch on office led please,LIGHT_ON
would you turn on hall led right now,LIGHT_ON
would you enable kitchen lamp please,LIGHT_ON
would you enable living room led for me,LIGHT_ON
would you power off living room light right now,LIGHT_OFF
would you turn on kitchen lights right now,LIGHT_ON
hey activate bathroom led please,LIGHT_ON
hey switch off kitchen light please,LIGHT_OFF
hey switch on garage light,LIGHT_ON
hey power off bathroom lamp please,LIGHT_OFF
can you stop hall lamp please,LIGHT_OFF
please turn on bedroom lamp,LIGHT_ON
hey power off hall led right now,LIGHT_OFF
would you switch off hall lamp please,LIGHT_OFF
deactivate lamp right now,LIGHT_OFF
would you start office led right now,LIGHT_ON
would you power off led,LIGHT_OFF
deactivate kitchen lamp for me,LIGHT_OFF
stop bedroom light for me,LIGHT_OFF
please stop bathroom lamp please,LIGHT_OFF
would you stop kitchen led for me,LIGHT_OFF
