text,label
turn on the light,LIGHT_ON
switch on the light,LIGHT_ON
turn the light on,LIGHT_ON
please turn on the light,LIGHT_ON
activate the light,LIGHT_ON
enable the lamp,LIGHT_ON
turn on my lamp,LIGHT_ON
make the light turn on,LIGHT_ON
light on,LIGHT_ON
lamp on,LIGHT_ON
power on the light,LIGHT_ON
can you turn on the light,LIGHT_ON
turn the LED on,LIGHT_ON
switch the LED on,LIGHT_ON
I need the light on,LIGHT_ON
It's dark switch on light, LIGHT_ON

turn off the light,LIGHT_OFF
switch off the light,LIGHT_OFF
turn the light off,LIGHT_OFF
please turn off the light,LIGHT_OFF
disable the lamp,LIGHT_OFF
turn off my lamp,LIGHT_OFF
make the light turn off,LIGHT_OFF
light off,LIGHT_OFF
lamp off,LIGHT_OFF
power off the light,LIGHT_OFF
can you turn off the light,LIGHT_OFF
turn the LED off,LIGHT_OFF
switch the LED off,LIGHT_OFF
I need the light off,LIGHT_OFF
It's sunny switch off light, LIGHT_OFF  

hello,UNKNOWN
hi,UNKNOWN
what is the weather,UNKNOWN
tell me a joke,UNKNOWN
what time is it,UNKNOWN
who are you,UNKNOWN
how are you,UNKNOWN
play music,UNKNOWN
open the door,UNKNOWN
increase temperature,UNKNOWN
random command,UNKNOWN
